,DATE,AnnualKM_Banding,RANKING,PREDICTED,QUOTE_COUNT
32,2022-03-10,LowKM,1. Rank Top,1.Loaded,669
33,2022-03-10,Otherwise,2. Rank Bottom,2.Discounted,440
34,2022-03-27,LowKM,1. Rank Top,2.Discounted,134
35,2022-03-28,LowKM,1. Rank Top,2.Discounted,145
36,2022-03-29,Otherwise,2. Rank Bottom,2.Discounted,414
37,2022-03-17,Otherwise,1. Rank Top,2.Discounted,30
38,2022-03-20,LowKM,1. Rank Top,2.Discounted,135
39,2022-03-24,LowKM,1. Rank Top,2.Discounted,139
40,2022-03-22,LowKM,2. Rank Bottom,2.Discounted,556
41,2022-03-28,Otherwise,2. Rank Bottom,2.Discounted,523
42,2022-03-14,LowKM,2. Rank Bottom,1.Loaded,855
43,2022-03-14,Otherwise,2. Rank Bottom,2.Discounted,292
44,2022-03-31,Otherwise,2. Rank Bottom,1.Loaded,744
45,2022-03-08,Otherwise,2. Rank Bottom,1.Loaded,607
46,2022-03-08,LowKM,2. Rank Bottom,2.Discounted,658
47,2022-03-08,Otherwise,1. Rank Top,2.Discounted,54
48,2022-03-23,LowKM,2. Rank Bottom,2.Discounted,654
49,2022-04-04,LowKM,2. Rank Bottom,2.Discounted,678
50,2022-03-24,LowKM,2. Rank Bottom,2.Discounted,582
51,2022-03-12,LowKM,2. Rank Bottom,2.Discounted,379
52,2022-03-12,Otherwise,2. Rank Bottom,1.Loaded,397
53,2022-03-25,Otherwise,2. Rank Bottom,1.Loaded,501
54,2022-03-27,Otherwise,2. Rank Bottom,1.Loaded,697
55,2022-03-17,Otherwise,2. Rank Bottom,2.Discounted,264
56,2022-03-15,Otherwise,2. Rank Bottom,1.Loaded,566
57,2022-03-28,LowKM,1. Rank Top,1.Loaded,888
58,2022-03-28,LowKM,2. Rank Bottom,1.Loaded,972
59,2022-03-29,LowKM,1. Rank Top,2.Discounted,146
60,2022-03-17,LowKM,2. Rank Bottom,2.Discounted,590
61,2022-03-15,Otherwise,1. Rank Top,2.Discounted,34
62,2022-03-19,LowKM,1. Rank Top,1.Loaded,447
63,2022-03-23,Otherwise,1. Rank Top,2.Discounted,37
64,2022-03-12,Otherwise,2. Rank Bottom,2.Discounted,230
65,2022-03-12,LowKM,1. Rank Top,2.Discounted,95
66,2022-03-13,LowKM,2. Rank Bottom,1.Loaded,661
67,2022-03-18,LowKM,1. Rank Top,1.Loaded,602
68,2022-03-20,LowKM,1. Rank Top,1.Loaded,537
69,2022-03-07,Otherwise,2. Rank Bottom,2.Discounted,361
70,2022-03-24,Otherwise,2. Rank Bottom,1.Loaded,617
71,2022-03-13,Otherwise,1. Rank Top,1.Loaded,238
72,2022-03-29,LowKM,2. Rank Bottom,1.Loaded,1066
73,2022-03-16,Otherwise,2. Rank Bottom,1.Loaded,524
74,2022-03-21,LowKM,2. Rank Bottom,1.Loaded,877
75,2022-03-22,LowKM,1. Rank Top,2.Discounted,133
76,2022-03-12,Otherwise,1. Rank Top,2.Discounted,61
77,2022-03-11,Otherwise,2. Rank Bottom,2.Discounted,278
78,2022-03-27,LowKM,2. Rank Bottom,1.Loaded,626
79,2022-03-29,Otherwise,1. Rank Top,1.Loaded,723
80,2022-04-04,LowKM,1. Rank Top,2.Discounted,138
81,2022-03-10,LowKM,2. Rank Bottom,2.Discounted,580
82,2022-03-12,LowKM,2. Rank Bottom,1.Loaded,582
83,2022-03-25,Otherwise,2. Rank Bottom,2.Discounted,244
84,2022-03-28,LowKM,2. Rank Bottom,2.Discounted,682
85,2022-03-16,Otherwise,1. Rank Top,2.Discounted,28
86,2022-03-18,Otherwise,1. Rank Top,1.Loaded,742
87,2022-03-31,Otherwise,2. Rank Bottom,2.Discounted,486
88,2022-03-07,LowKM,1. Rank Top,1.Loaded,849
89,2022-03-21,LowKM,2. Rank Bottom,2.Discounted,566
90,2022-04-04,LowKM,2. Rank Bottom,1.Loaded,890
91,2022-03-11,Otherwise,2. Rank Bottom,1.Loaded,535
92,2022-03-26,LowKM,2. Rank Bottom,1.Loaded,609
93,2022-03-26,Otherwise,1. Rank Top,2.Discounted,40
94,2022-03-16,LowKM,1. Rank Top,1.Loaded,768
95,2022-03-31,LowKM,2. Rank Bottom,1.Loaded,837
96,2022-03-08,LowKM,2. Rank Bottom,1.Loaded,932
97,2022-03-20,Otherwise,2. Rank Bottom,2.Discounted,259
98,2022-03-09,LowKM,2. Rank Bottom,2.Discounted,639
99,2022-03-23,LowKM,1. Rank Top,2.Discounted,124
100,2022-03-18,Otherwise,2. Rank Bottom,2.Discounted,392
101,2022-03-18,LowKM,2. Rank Bottom,1.Loaded,685
102,2022-03-19,LowKM,2. Rank Bottom,2.Discounted,443
103,2022-03-19,Otherwise,1. Rank Top,1.Loaded,711
104,2022-03-08,Otherwise,2. Rank Bottom,2.Discounted,310
105,2022-03-20,Otherwise,1. Rank Top,1.Loaded,621
106,2022-03-09,Otherwise,2. Rank Bottom,1.Loaded,760
107,2022-03-21,LowKM,1. Rank Top,1.Loaded,744
108,2022-03-24,Otherwise,2. Rank Bottom,2.Discounted,310
109,2022-03-24,Otherwise,1. Rank Top,2.Discounted,33
110,2022-03-22,LowKM,1. Rank Top,1.Loaded,726
111,2022-03-10,LowKM,2. Rank Bottom,1.Loaded,825
112,2022-03-11,LowKM,1. Rank Top,1.Loaded,555
113,2022-03-27,Otherwise,1. Rank Top,2.Discounted,107
114,2022-03-13,Otherwise,2. Rank Bottom,1.Loaded,330
115,2022-03-29,Otherwise,1. Rank Top,2.Discounted,72
116,2022-03-30,LowKM,1. Rank Top,1.Loaded,733
117,2022-03-30,Otherwise,2. Rank Bottom,2.Discounted,455
118,2022-03-31,Otherwise,1. Rank Top,2.Discounted,105
119,2022-03-07,LowKM,2. Rank Bottom,2.Discounted,687
120,2022-03-09,LowKM,2. Rank Bottom,1.Loaded,863
121,2022-03-21,Otherwise,1. Rank Top,1.Loaded,565
122,2022-03-21,Otherwise,2. Rank Bottom,1.Loaded,669
123,2022-03-23,Otherwise,2. Rank Bottom,2.Discounted,303
124,2022-03-22,Otherwise,1. Rank Top,2.Discounted,40
125,2022-03-27,LowKM,2. Rank Bottom,2.Discounted,477
126,2022-03-28,Otherwise,1. Rank Top,2.Discounted,82
127,2022-03-14,LowKM,2. Rank Bottom,2.Discounted,633
128,2022-03-17,LowKM,1. Rank Top,2.Discounted,136
129,2022-03-15,LowKM,2. Rank Bottom,2.Discounted,678
130,2022-03-15,Otherwise,2. Rank Bottom,2.Discounted,323
131,2022-03-16,Otherwise,2. Rank Bottom,2.Discounted,328
132,2022-03-30,Otherwise,1. Rank Top,2.Discounted,91
133,2022-03-31,LowKM,1. Rank Top,1.Loaded,676
134,2022-03-08,LowKM,1. Rank Top,1.Loaded,774
135,2022-03-09,Otherwise,2. Rank Bottom,2.Discounted,447
136,2022-03-22,Otherwise,1. Rank Top,1.Loaded,452
137,2022-03-11,LowKM,2. Rank Bottom,2.Discounted,489
138,2022-03-26,Otherwise,2. Rank Bottom,1.Loaded,478
139,2022-03-27,Otherwise,2. Rank Bottom,2.Discounted,386
140,2022-03-14,Otherwise,1. Rank Top,1.Loaded,338
141,2022-03-15,LowKM,1. Rank Top,1.Loaded,759
142,2022-03-16,Otherwise,1. Rank Top,1.Loaded,317
143,2022-03-19,LowKM,1. Rank Top,2.Discounted,119
144,2022-03-30,LowKM,1. Rank Top,2.Discounted,157
145,2022-03-31,LowKM,2. Rank Bottom,2.Discounted,549
146,2022-03-09,Otherwise,1. Rank Top,2.Discounted,123
147,2022-03-27,LowKM,1. Rank Top,1.Loaded,596
148,2022-03-27,Otherwise,1. Rank Top,1.Loaded,864
149,2022-03-14,LowKM,1. Rank Top,1.Loaded,716
150,2022-03-14,LowKM,1. Rank Top,2.Discounted,151
151,2022-03-13,Otherwise,1. Rank Top,2.Discounted,35
152,2022-03-17,Otherwise,2. Rank Bottom,1.Loaded,448
153,2022-03-21,Otherwise,1. Rank Top,2.Discounted,53
154,2022-04-04,Otherwise,1. Rank Top,2.Discounted,62
155,2022-03-10,Otherwise,1. Rank Top,1.Loaded,847
156,2022-03-25,LowKM,1. Rank Top,2.Discounted,112
157,2022-03-08,Otherwise,1. Rank Top,1.Loaded,457
158,2022-03-08,LowKM,1. Rank Top,2.Discounted,160
159,2022-03-20,Otherwise,1. Rank Top,2.Discounted,64
160,2022-03-21,Otherwise,2. Rank Bottom,2.Discounted,339
161,2022-03-22,Otherwise,2. Rank Bottom,2.Discounted,275
162,2022-03-10,Otherwise,1. Rank Top,2.Discounted,128
163,2022-03-26,LowKM,1. Rank Top,1.Loaded,548
164,2022-03-26,LowKM,1. Rank Top,2.Discounted,112
165,2022-03-26,Otherwise,2. Rank Bottom,2.Discounted,280
166,2022-03-28,Otherwise,2. Rank Bottom,1.Loaded,818
167,2022-04-04,LowKM,1. Rank Top,1.Loaded,742
168,2022-03-24,Otherwise,1. Rank Top,1.Loaded,623
169,2022-03-10,LowKM,1. Rank Top,2.Discounted,130
170,2022-03-12,Otherwise,1. Rank Top,1.Loaded,313
171,2022-03-25,LowKM,2. Rank Bottom,2.Discounted,567
172,2022-03-26,LowKM,2. Rank Bottom,2.Discounted,406
173,2022-03-07,LowKM,2. Rank Bottom,1.Loaded,944
174,2022-03-09,Otherwise,1. Rank Top,1.Loaded,939
175,2022-03-25,LowKM,2. Rank Bottom,1.Loaded,803
176,2022-03-13,Otherwise,2. Rank Bottom,2.Discounted,202
177,2022-03-17,LowKM,1. Rank Top,1.Loaded,663
178,2022-03-17,LowKM,2. Rank Bottom,1.Loaded,779
179,2022-03-20,Otherwise,2. Rank Bottom,1.Loaded,401
180,2022-03-09,LowKM,1. Rank Top,2.Discounted,141
181,2022-03-24,LowKM,1. Rank Top,1.Loaded,686
182,2022-03-22,LowKM,2. Rank Bottom,1.Loaded,866
183,2022-03-14,Otherwise,1. Rank Top,2.Discounted,44
184,2022-03-19,Otherwise,1. Rank Top,2.Discounted,92
185,2022-03-19,Otherwise,2. Rank Bottom,1.Loaded,561
186,2022-03-30,Otherwise,2. Rank Bottom,1.Loaded,837
187,2022-03-07,Otherwise,1. Rank Top,1.Loaded,592
188,2022-03-23,Otherwise,1. Rank Top,1.Loaded,417
189,2022-04-04,Otherwise,2. Rank Bottom,1.Loaded,644
190,2022-03-22,Otherwise,2. Rank Bottom,1.Loaded,617
191,2022-03-11,LowKM,1. Rank Top,2.Discounted,116
192,2022-03-13,LowKM,2. Rank Bottom,2.Discounted,412
193,2022-03-29,LowKM,1. Rank Top,1.Loaded,804
194,2022-03-15,LowKM,1. Rank Top,2.Discounted,129
195,2022-03-16,LowKM,2. Rank Bottom,1.Loaded,993
196,2022-03-18,Otherwise,2. Rank Bottom,1.Loaded,641
197,2022-03-19,Otherwise,2. Rank Bottom,2.Discounted,371
198,2022-03-30,LowKM,2. Rank Bottom,1.Loaded,1074
199,2022-03-20,LowKM,2. Rank Bottom,1.Loaded,573
200,2022-04-04,Otherwise,1. Rank Top,1.Loaded,627
201,2022-03-16,LowKM,2. Rank Bottom,2.Discounted,695
202,2022-03-19,LowKM,2. Rank Bottom,1.Loaded,533
203,2022-03-30,LowKM,2. Rank Bottom,2.Discounted,664
204,2022-03-09,LowKM,1. Rank Top,1.Loaded,849
205,2022-03-10,Otherwise,2. Rank Bottom,1.Loaded,690
206,2022-03-25,Otherwise,1. Rank Top,1.Loaded,434
207,2022-03-28,Otherwise,1. Rank Top,1.Loaded,856
