,DATE,AFNTY_BRAND,CHANNEL,SALES_COUNT,VEHICLE_PREMIUM
99,2022-03-23,OCEA,CTM,6,4866.62
100,2022-03-23,OCEA,Others,1,1585.31
101,2022-03-24,OCEA,CTM,17,14914.189999999999
102,2022-03-24,OCEA,Others,1,449.81
103,2022-03-25,OCEA,CTM,10,8088.490000000001
104,2022-03-26,OCEA,CTM,6,5304.01
105,2022-03-27,GOLD,Others,135,112678.70999999999
106,2022-03-27,GOLD,CTM,107,98738.74999999994
107,2022-03-27,OCEA,CTM,4,3509.0300000000007
108,2022-03-28,OCEA,CTM,7,5803.74
109,2022-03-29,OCEA,CTM,7,5293.75
110,2022-03-30,OCEA,CTM,9,8128.030000000001
111,2022-03-30,OCEA,Others,2,2316.01
112,2022-03-31,OCEA,CTM,11,9730.08
113,2022-04-01,OCEA,CTM,10,9254.7
114,2022-04-01,OCEA,Others,1,759.42
115,2022-04-02,OCEA,Others,1,625.99
116,2022-04-02,OCEA,CTM,5,3851.11
117,2022-04-03,GOLD,CTM,112,89152.19999999995
118,2022-04-03,GOLD,Others,107,89303.00000000001
119,2022-04-03,OCEA,CTM,4,3227.4800000000005
120,2022-04-04,OCEA,CTM,9,7268.93
121,2022-04-04,OCEA,Others,1,701.39
122,2022-03-19,OCEA,Others,1,742.12
