,DATE,RANKING,AFNTY_BRAND,QUOTE_COUNT
72,2022-02-09,9,GOLD,3
73,2022-02-09,8,GOLD,29
74,2022-02-09,7,GOLD,89
75,2022-02-09,6,GOLD,168
76,2022-02-09,5,GOLD,297
77,2022-02-09,4,GOLD,491
78,2022-02-09,3,GOLD,922
79,2022-02-09,2,GOLD,1304
80,2022-02-09,1,GOLD,1903
81,2022-02-10,9,GOLD,8
82,2022-02-10,8,GOLD,26
83,2022-02-10,7,GOLD,75
84,2022-02-10,6,GOLD,148
85,2022-02-10,5,GOLD,283
86,2022-02-10,4,GOLD,470
87,2022-02-10,3,GOLD,811
88,2022-02-10,2,GOLD,1131
89,2022-02-10,1,GOLD,1656
90,2022-02-11,9,GOLD,8
91,2022-02-11,8,GOLD,25
92,2022-02-11,7,GOLD,65
93,2022-02-11,6,GOLD,131
94,2022-02-11,5,GOLD,258
95,2022-02-11,4,GOLD,400
96,2022-02-11,3,GOLD,715
97,2022-02-11,2,GOLD,1038
98,2022-02-11,1,GOLD,1393
99,2022-02-12,9,GOLD,5
100,2022-02-12,8,GOLD,22
101,2022-02-12,7,GOLD,55
102,2022-02-12,6,GOLD,125
103,2022-02-12,5,GOLD,220
104,2022-02-12,4,GOLD,368
105,2022-02-12,3,GOLD,646
106,2022-02-12,2,GOLD,867
107,2022-02-12,1,GOLD,1340
108,2022-02-13,9,GOLD,7
109,2022-02-13,8,GOLD,13
110,2022-02-13,7,GOLD,55
111,2022-02-13,6,GOLD,116
112,2022-02-13,5,GOLD,197
113,2022-02-13,4,GOLD,348
114,2022-02-13,3,GOLD,656
115,2022-02-13,2,GOLD,924
116,2022-02-13,1,GOLD,1283
117,2022-02-14,9,GOLD,1
118,2022-02-14,8,GOLD,1
119,2022-02-14,7,GOLD,4
120,2022-02-14,6,GOLD,7
121,2022-02-14,5,GOLD,13
122,2022-02-14,4,GOLD,15
123,2022-02-14,3,GOLD,27
124,2022-02-14,2,GOLD,41
125,2022-02-14,1,GOLD,64
126,2022-02-15,10,GOLD,2
127,2022-02-15,9,GOLD,12
128,2022-02-15,8,GOLD,22
129,2022-02-15,7,GOLD,41
130,2022-02-15,6,GOLD,79
131,2022-02-15,5,GOLD,154
132,2022-02-15,4,GOLD,214
133,2022-02-15,3,GOLD,442
134,2022-02-15,2,GOLD,649
135,2022-02-15,1,GOLD,860
136,2022-02-16,10,GOLD,2
137,2022-02-16,9,GOLD,35
138,2022-02-16,8,GOLD,57
139,2022-02-16,7,GOLD,97
140,2022-02-16,6,GOLD,169
141,2022-02-16,5,GOLD,306
142,2022-02-16,4,GOLD,473
143,2022-02-16,3,GOLD,969
144,2022-02-16,2,GOLD,1249
145,2022-02-16,1,GOLD,1893
146,2022-02-17,10,GOLD,7
147,2022-02-17,9,GOLD,15
148,2022-02-17,8,GOLD,35
149,2022-02-17,7,GOLD,84
150,2022-02-17,6,GOLD,166
151,2022-02-17,5,GOLD,301
152,2022-02-17,4,GOLD,488
153,2022-02-17,3,GOLD,908
154,2022-02-17,2,GOLD,1161
155,2022-02-17,1,GOLD,1667
156,2022-02-18,10,GOLD,4
157,2022-02-18,9,GOLD,18
158,2022-02-18,8,GOLD,28
159,2022-02-18,7,GOLD,55
160,2022-02-18,6,GOLD,134
161,2022-02-18,5,GOLD,259
162,2022-02-18,4,GOLD,401
163,2022-02-18,3,GOLD,760
164,2022-02-18,2,GOLD,901
165,2022-02-18,1,GOLD,1541
166,2022-02-19,10,GOLD,1
167,2022-02-19,9,GOLD,13
168,2022-02-19,8,GOLD,33
169,2022-02-19,7,GOLD,69
170,2022-02-19,6,GOLD,111
171,2022-02-19,5,GOLD,197
172,2022-02-19,4,GOLD,335
173,2022-02-19,3,GOLD,604
174,2022-02-19,2,GOLD,807
175,2022-02-19,1,GOLD,1247
176,2022-02-20,10,GOLD,4
177,2022-02-20,9,GOLD,9
178,2022-02-20,8,GOLD,27
179,2022-02-20,7,GOLD,68
180,2022-02-20,6,GOLD,133
181,2022-02-20,5,GOLD,183
182,2022-02-20,4,GOLD,355
183,2022-02-20,3,GOLD,602
184,2022-02-20,2,GOLD,864
185,2022-02-20,1,GOLD,1118
186,2022-02-21,10,GOLD,9
187,2022-02-21,9,GOLD,28
188,2022-02-21,8,GOLD,44
189,2022-02-21,7,GOLD,102
190,2022-02-21,6,GOLD,177
191,2022-02-21,5,GOLD,349
192,2022-02-21,4,GOLD,517
193,2022-02-21,3,GOLD,1032
194,2022-02-21,2,GOLD,1396
195,2022-02-21,1,GOLD,1893
196,2022-02-22,10,GOLD,3
197,2022-02-22,9,GOLD,16
198,2022-02-22,8,GOLD,53
199,2022-02-22,7,GOLD,107
200,2022-02-22,6,GOLD,187
201,2022-02-22,5,GOLD,311
202,2022-02-22,4,GOLD,485
203,2022-02-22,3,GOLD,987
204,2022-02-22,2,GOLD,1356
205,2022-02-22,1,GOLD,1820
206,2022-02-23,10,GOLD,4
207,2022-02-23,9,GOLD,13
208,2022-02-23,8,GOLD,37
209,2022-02-23,7,GOLD,84
210,2022-02-23,6,GOLD,162
211,2022-02-23,5,GOLD,288
212,2022-02-23,4,GOLD,500
213,2022-02-23,3,GOLD,802
214,2022-02-23,2,GOLD,1227
215,2022-02-23,1,GOLD,1681
216,2022-02-24,10,GOLD,7
217,2022-02-24,9,GOLD,13
218,2022-02-24,8,GOLD,40
219,2022-02-24,7,GOLD,84
220,2022-02-24,6,GOLD,168
221,2022-02-24,5,GOLD,302
222,2022-02-24,4,GOLD,454
223,2022-02-24,3,GOLD,753
224,2022-02-24,2,GOLD,1074
225,2022-02-24,1,GOLD,1687
226,2022-02-25,10,GOLD,5
227,2022-02-25,9,GOLD,14
228,2022-02-25,8,GOLD,30
229,2022-02-25,7,GOLD,81
230,2022-02-25,6,GOLD,148
231,2022-02-25,5,GOLD,252
232,2022-02-25,4,GOLD,435
233,2022-02-25,3,GOLD,761
234,2022-02-25,2,GOLD,1046
235,2022-02-25,1,GOLD,1468
236,2022-02-26,10,GOLD,1
237,2022-02-26,9,GOLD,5
238,2022-02-26,8,GOLD,32
239,2022-02-26,7,GOLD,58
240,2022-02-26,6,GOLD,114
241,2022-02-26,5,GOLD,232
242,2022-02-26,4,GOLD,367
243,2022-02-26,3,GOLD,604
244,2022-02-26,2,GOLD,791
245,2022-02-26,1,GOLD,1251
246,2022-02-27,10,GOLD,1
247,2022-02-27,9,GOLD,14
248,2022-02-27,8,GOLD,32
249,2022-02-27,7,GOLD,61
250,2022-02-27,6,GOLD,117
251,2022-02-27,5,GOLD,222
252,2022-02-27,4,GOLD,367
253,2022-02-27,3,GOLD,599
254,2022-02-27,2,GOLD,878
255,2022-02-27,1,GOLD,1191
256,2022-02-28,10,GOLD,3
257,2022-02-28,9,GOLD,21
258,2022-02-28,8,GOLD,30
259,2022-02-28,7,GOLD,85
260,2022-02-28,6,GOLD,178
261,2022-02-28,5,GOLD,289
262,2022-02-28,4,GOLD,465
263,2022-02-28,3,GOLD,903
264,2022-02-28,2,GOLD,1129
265,2022-02-28,1,GOLD,1771
266,2022-03-01,10,GOLD,3
267,2022-03-01,9,GOLD,17
268,2022-03-01,8,GOLD,16
269,2022-03-01,7,GOLD,70
270,2022-03-01,6,GOLD,166
271,2022-03-01,5,GOLD,314
272,2022-03-01,4,GOLD,548
273,2022-03-01,3,GOLD,799
274,2022-03-01,2,GOLD,1059
275,2022-03-01,1,GOLD,1578
276,2022-03-02,11,GOLD,2
277,2022-03-02,10,GOLD,10
278,2022-03-02,9,GOLD,16
279,2022-03-02,8,GOLD,35
280,2022-03-02,7,GOLD,89
281,2022-03-02,6,GOLD,170
282,2022-03-02,5,GOLD,302
283,2022-03-02,4,GOLD,565
284,2022-03-02,3,GOLD,769
285,2022-03-02,2,GOLD,1124
286,2022-03-02,1,GOLD,1524
287,2022-03-03,11,GOLD,2
288,2022-03-03,10,GOLD,6
289,2022-03-03,9,GOLD,15
290,2022-03-03,8,GOLD,39
291,2022-03-03,7,GOLD,73
292,2022-03-03,6,GOLD,177
293,2022-03-03,5,GOLD,285
294,2022-03-03,4,GOLD,517
295,2022-03-03,3,GOLD,843
296,2022-03-03,2,GOLD,1228
297,2022-03-03,1,GOLD,1888
298,2022-03-04,11,GOLD,1
299,2022-03-04,10,GOLD,4
300,2022-03-04,9,GOLD,11
301,2022-03-04,8,GOLD,28
302,2022-03-04,7,GOLD,64
303,2022-03-04,6,GOLD,124
304,2022-03-04,5,GOLD,235
305,2022-03-04,4,GOLD,391
306,2022-03-04,3,GOLD,731
307,2022-03-04,2,GOLD,1059
308,2022-03-04,1,GOLD,1685
309,2022-03-05,11,GOLD,1
310,2022-03-05,10,GOLD,4
311,2022-03-05,9,GOLD,4
312,2022-03-05,8,GOLD,14
313,2022-03-05,7,GOLD,44
314,2022-03-05,6,GOLD,114
315,2022-03-05,5,GOLD,153
316,2022-03-05,4,GOLD,336
317,2022-03-05,3,GOLD,622
318,2022-03-05,2,GOLD,905
319,2022-03-05,1,GOLD,1468
320,2022-03-06,11,GOLD,2
321,2022-03-06,10,GOLD,1
322,2022-03-06,9,GOLD,28
323,2022-03-06,8,GOLD,21
324,2022-03-06,7,GOLD,54
325,2022-03-06,6,GOLD,113
326,2022-03-06,5,GOLD,205
327,2022-03-06,4,GOLD,376
328,2022-03-06,3,GOLD,589
329,2022-03-06,2,GOLD,899
330,2022-03-06,1,GOLD,1388
331,2022-03-07,16,OCEA,1
332,2022-03-07,14,OCEA,1
333,2022-03-07,13,OCEA,17
334,2022-03-07,12,OCEA,42
335,2022-03-07,11,OCEA,91
336,2022-03-07,10,GOLD,4
337,2022-03-07,10,OCEA,176
338,2022-03-07,9,OCEA,231
339,2022-03-07,9,GOLD,12
340,2022-03-07,8,OCEA,347
341,2022-03-07,8,GOLD,36
342,2022-03-07,7,OCEA,444
343,2022-03-07,7,GOLD,70
344,2022-03-07,6,OCEA,683
345,2022-03-07,6,GOLD,129
346,2022-03-07,5,OCEA,994
347,2022-03-07,5,GOLD,318
348,2022-03-07,4,OCEA,821
349,2022-03-07,4,GOLD,485
350,2022-03-07,3,OCEA,291
351,2022-03-07,3,GOLD,782
352,2022-03-07,2,OCEA,280
353,2022-03-07,2,GOLD,1150
354,2022-03-07,1,GOLD,1691
355,2022-03-07,1,OCEA,173
356,2022-03-08,15,OCEA,2
357,2022-03-08,14,OCEA,7
358,2022-03-08,13,OCEA,22
359,2022-03-08,12,OCEA,49
360,2022-03-08,11,OCEA,97
361,2022-03-08,10,OCEA,152
362,2022-03-08,10,GOLD,6
363,2022-03-08,9,OCEA,278
364,2022-03-08,9,GOLD,16
365,2022-03-08,8,OCEA,298
366,2022-03-08,8,GOLD,35
367,2022-03-08,7,OCEA,460
368,2022-03-08,7,GOLD,65
369,2022-03-08,6,GOLD,168
370,2022-03-08,6,OCEA,620
371,2022-03-08,5,OCEA,813
372,2022-03-08,5,GOLD,288
373,2022-03-08,4,GOLD,491
374,2022-03-08,4,OCEA,655
375,2022-03-08,3,GOLD,776
376,2022-03-08,3,OCEA,293
377,2022-03-08,2,OCEA,281
378,2022-03-08,2,GOLD,1034
379,2022-03-08,1,OCEA,171
380,2022-03-08,1,GOLD,1496
381,2022-03-09,14,OCEA,1
382,2022-03-09,13,OCEA,23
383,2022-03-09,12,OCEA,39
384,2022-03-09,11,OCEA,80
385,2022-03-09,10,OCEA,142
386,2022-03-09,10,GOLD,4
387,2022-03-09,9,OCEA,247
388,2022-03-09,9,GOLD,9
389,2022-03-09,8,OCEA,325
390,2022-03-09,8,GOLD,25
391,2022-03-09,7,GOLD,69
392,2022-03-09,7,OCEA,449
393,2022-03-09,6,GOLD,135
394,2022-03-09,6,OCEA,651
395,2022-03-09,5,GOLD,250
396,2022-03-09,5,OCEA,1162
397,2022-03-09,4,OCEA,999
398,2022-03-09,4,GOLD,499
399,2022-03-09,3,GOLD,916
400,2022-03-09,3,OCEA,259
401,2022-03-09,2,OCEA,368
402,2022-03-09,2,GOLD,1285
403,2022-03-09,1,GOLD,2084
404,2022-03-09,1,OCEA,285
405,2022-03-10,16,OCEA,1
406,2022-03-10,15,OCEA,1
407,2022-03-10,14,OCEA,3
408,2022-03-10,13,OCEA,13
409,2022-03-10,12,OCEA,32
410,2022-03-10,11,GOLD,2
411,2022-03-10,11,OCEA,79
412,2022-03-10,10,GOLD,1
413,2022-03-10,10,OCEA,145
414,2022-03-10,9,OCEA,227
415,2022-03-10,9,GOLD,11
416,2022-03-10,8,OCEA,294
417,2022-03-10,8,GOLD,23
418,2022-03-10,7,OCEA,432
419,2022-03-10,7,GOLD,65
420,2022-03-10,6,GOLD,117
421,2022-03-10,6,OCEA,581
422,2022-03-10,5,OCEA,981
423,2022-03-10,5,GOLD,242
424,2022-03-10,4,GOLD,463
425,2022-03-10,4,OCEA,883
426,2022-03-10,3,GOLD,887
427,2022-03-10,3,OCEA,239
428,2022-03-10,2,GOLD,1168
429,2022-03-10,2,OCEA,351
430,2022-03-10,1,OCEA,295
431,2022-03-10,1,GOLD,1783
432,2022-03-11,15,OCEA,1
433,2022-03-11,14,OCEA,4
434,2022-03-11,13,OCEA,15
435,2022-03-11,12,OCEA,37
436,2022-03-11,11,OCEA,97
437,2022-03-11,10,OCEA,133
438,2022-03-11,10,GOLD,2
439,2022-03-11,9,OCEA,208
440,2022-03-11,9,GOLD,13
441,2022-03-11,8,GOLD,37
442,2022-03-11,8,OCEA,278
443,2022-03-11,7,OCEA,384
444,2022-03-11,7,GOLD,55
445,2022-03-11,6,GOLD,133
446,2022-03-11,6,OCEA,479
447,2022-03-11,5,OCEA,722
448,2022-03-11,5,GOLD,241
449,2022-03-11,4,OCEA,603
450,2022-03-11,4,GOLD,389
451,2022-03-11,3,GOLD,699
452,2022-03-11,3,OCEA,179
453,2022-03-11,2,GOLD,905
454,2022-03-11,2,OCEA,234
455,2022-03-11,1,GOLD,1285
456,2022-03-11,1,OCEA,184
457,2022-03-12,14,OCEA,6
458,2022-03-12,13,OCEA,17
459,2022-03-12,12,OCEA,30
460,2022-03-12,11,OCEA,60
461,2022-03-12,11,GOLD,1
462,2022-03-12,10,GOLD,4
463,2022-03-12,10,OCEA,109
464,2022-03-12,9,OCEA,163
465,2022-03-12,9,GOLD,10
466,2022-03-12,8,GOLD,23
467,2022-03-12,8,OCEA,210
468,2022-03-12,7,GOLD,50
469,2022-03-12,7,OCEA,275
470,2022-03-12,6,GOLD,103
471,2022-03-12,6,OCEA,375
472,2022-03-12,5,GOLD,196
473,2022-03-12,5,OCEA,519
474,2022-03-12,4,GOLD,305
475,2022-03-12,4,OCEA,421
476,2022-03-12,3,GOLD,496
477,2022-03-12,3,OCEA,145
478,2022-03-12,2,OCEA,192
479,2022-03-12,2,GOLD,660
480,2022-03-12,1,GOLD,920
481,2022-03-12,1,OCEA,138
482,2022-03-13,15,OCEA,2
483,2022-03-13,14,OCEA,5
484,2022-03-13,13,OCEA,12
485,2022-03-13,12,OCEA,31
486,2022-03-13,11,OCEA,71
487,2022-03-13,11,GOLD,1
488,2022-03-13,10,OCEA,99
489,2022-03-13,10,GOLD,5
490,2022-03-13,9,OCEA,167
491,2022-03-13,9,GOLD,8
492,2022-03-13,8,GOLD,16
493,2022-03-13,8,OCEA,214
494,2022-03-13,7,OCEA,310
495,2022-03-13,7,GOLD,46
496,2022-03-13,6,GOLD,114
497,2022-03-13,6,OCEA,395
498,2022-03-13,5,GOLD,218
499,2022-03-13,5,OCEA,524
500,2022-03-13,4,OCEA,396
501,2022-03-13,4,GOLD,288
502,2022-03-13,3,OCEA,163
503,2022-03-13,3,GOLD,493
504,2022-03-13,2,OCEA,195
505,2022-03-13,2,GOLD,669
506,2022-03-13,1,OCEA,95
507,2022-03-13,1,GOLD,949
508,2022-03-14,15,OCEA,1
509,2022-03-14,14,OCEA,5
510,2022-03-14,13,OCEA,22
511,2022-03-14,12,OCEA,47
512,2022-03-14,11,OCEA,104
513,2022-03-14,11,GOLD,1
514,2022-03-14,10,OCEA,135
515,2022-03-14,10,GOLD,5
516,2022-03-14,9,OCEA,259
517,2022-03-14,9,GOLD,14
518,2022-03-14,8,OCEA,322
519,2022-03-14,8,GOLD,33
520,2022-03-14,7,OCEA,406
521,2022-03-14,7,GOLD,78
522,2022-03-14,6,OCEA,613
523,2022-03-14,6,GOLD,161
524,2022-03-14,5,GOLD,275
525,2022-03-14,5,OCEA,697
526,2022-03-14,4,GOLD,493
527,2022-03-14,4,OCEA,541
528,2022-03-14,3,GOLD,688
529,2022-03-14,3,OCEA,254
530,2022-03-14,2,GOLD,875
531,2022-03-14,2,OCEA,241
532,2022-03-14,1,GOLD,1280
533,2022-03-14,1,OCEA,138
534,2022-03-15,15,OCEA,1
535,2022-03-15,14,OCEA,2
536,2022-03-15,13,OCEA,23
537,2022-03-15,12,OCEA,51
538,2022-03-15,11,OCEA,96
539,2022-03-15,10,GOLD,6
540,2022-03-15,10,OCEA,176
541,2022-03-15,9,OCEA,281
542,2022-03-15,9,GOLD,20
543,2022-03-15,8,OCEA,340
544,2022-03-15,8,GOLD,42
545,2022-03-15,7,OCEA,501
546,2022-03-15,7,GOLD,72
547,2022-03-15,6,OCEA,641
548,2022-03-15,6,GOLD,199
549,2022-03-15,5,GOLD,311
550,2022-03-15,5,OCEA,753
551,2022-03-15,4,GOLD,540
552,2022-03-15,4,OCEA,554
553,2022-03-15,3,OCEA,265
554,2022-03-15,3,GOLD,769
555,2022-03-15,2,OCEA,261
556,2022-03-15,2,GOLD,910
557,2022-03-15,1,GOLD,1308
558,2022-03-15,1,OCEA,116
559,2022-03-16,16,OCEA,1
560,2022-03-16,14,OCEA,8
561,2022-03-16,13,OCEA,23
562,2022-03-16,12,OCEA,51
563,2022-03-16,11,OCEA,112
564,2022-03-16,10,OCEA,165
565,2022-03-16,10,GOLD,7
566,2022-03-16,9,OCEA,281
567,2022-03-16,9,GOLD,18
568,2022-03-16,8,OCEA,364
569,2022-03-16,8,GOLD,50
570,2022-03-16,7,GOLD,79
571,2022-03-16,7,OCEA,457
572,2022-03-16,6,GOLD,188
573,2022-03-16,6,OCEA,634
574,2022-03-16,5,OCEA,747
575,2022-03-16,5,GOLD,330
576,2022-03-16,4,GOLD,562
577,2022-03-16,4,OCEA,548
578,2022-03-16,3,GOLD,712
579,2022-03-16,3,OCEA,282
580,2022-03-16,2,OCEA,277
581,2022-03-16,2,GOLD,943
582,2022-03-16,1,OCEA,114
583,2022-03-16,1,GOLD,1320
584,2022-03-17,15,OCEA,2
585,2022-03-17,14,OCEA,6
586,2022-03-17,13,OCEA,21
587,2022-03-17,12,OCEA,51
588,2022-03-17,11,OCEA,72
589,2022-03-17,10,OCEA,112
590,2022-03-17,10,GOLD,4
591,2022-03-17,9,OCEA,219
592,2022-03-17,9,GOLD,27
593,2022-03-17,8,OCEA,279
594,2022-03-17,8,GOLD,37
595,2022-03-17,7,OCEA,416
596,2022-03-17,7,GOLD,67
597,2022-03-17,6,OCEA,548
598,2022-03-17,6,GOLD,140
599,2022-03-17,5,OCEA,659
600,2022-03-17,5,GOLD,259
601,2022-03-17,4,GOLD,436
602,2022-03-17,4,OCEA,496
603,2022-03-17,3,OCEA,213
604,2022-03-17,3,GOLD,674
605,2022-03-17,2,GOLD,756
606,2022-03-17,2,OCEA,257
607,2022-03-17,1,GOLD,1201
608,2022-03-17,1,OCEA,108
609,2022-03-18,15,OCEA,3
610,2022-03-18,14,OCEA,8
611,2022-03-18,13,OCEA,16
612,2022-03-18,12,OCEA,35
613,2022-03-18,11,OCEA,74
614,2022-03-18,10,GOLD,6
615,2022-03-18,10,OCEA,146
616,2022-03-18,9,OCEA,184
617,2022-03-18,9,GOLD,13
618,2022-03-18,8,OCEA,273
619,2022-03-18,8,GOLD,31
620,2022-03-18,7,GOLD,62
621,2022-03-18,7,OCEA,358
622,2022-03-18,6,GOLD,114
623,2022-03-18,6,OCEA,576
624,2022-03-18,5,GOLD,246
625,2022-03-18,5,OCEA,834
626,2022-03-18,4,OCEA,759
627,2022-03-18,4,GOLD,510
628,2022-03-18,3,GOLD,650
629,2022-03-18,3,OCEA,221
630,2022-03-18,2,OCEA,295
631,2022-03-18,2,GOLD,946
632,2022-03-18,1,GOLD,1604
633,2022-03-18,1,OCEA,223
634,2022-03-19,15,OCEA,2
635,2022-03-19,14,OCEA,3
636,2022-03-19,13,OCEA,14
637,2022-03-19,12,OCEA,32
638,2022-03-19,11,OCEA,58
639,2022-03-19,10,GOLD,4
640,2022-03-19,10,OCEA,97
641,2022-03-19,9,OCEA,147
642,2022-03-19,9,GOLD,12
643,2022-03-19,8,GOLD,17
644,2022-03-19,8,OCEA,180
645,2022-03-19,7,GOLD,48
646,2022-03-19,7,OCEA,311
647,2022-03-19,6,GOLD,113
648,2022-03-19,6,OCEA,481
649,2022-03-19,5,OCEA,739
650,2022-03-19,5,GOLD,179
651,2022-03-19,4,OCEA,695
652,2022-03-19,4,GOLD,416
653,2022-03-19,3,OCEA,189
654,2022-03-19,3,GOLD,591
655,2022-03-19,2,OCEA,265
656,2022-03-19,2,GOLD,878
657,2022-03-19,1,OCEA,233
658,2022-03-19,1,GOLD,1362
659,2022-03-20,15,OCEA,1
660,2022-03-20,13,OCEA,5
661,2022-03-20,12,OCEA,25
662,2022-03-20,11,OCEA,49
663,2022-03-20,10,OCEA,98
664,2022-03-20,9,GOLD,7
665,2022-03-20,9,OCEA,140
666,2022-03-20,8,GOLD,14
667,2022-03-20,8,OCEA,215
668,2022-03-20,7,GOLD,48
669,2022-03-20,7,OCEA,294
670,2022-03-20,6,OCEA,443
671,2022-03-20,6,GOLD,76
672,2022-03-20,5,OCEA,675
673,2022-03-20,5,GOLD,190
674,2022-03-20,4,OCEA,644
675,2022-03-20,4,GOLD,305
676,2022-03-20,3,OCEA,174
677,2022-03-20,3,GOLD,504
678,2022-03-20,2,OCEA,240
679,2022-03-20,2,GOLD,780
680,2022-03-20,1,OCEA,177
681,2022-03-20,1,GOLD,1388
682,2022-03-21,15,OCEA,1
683,2022-03-21,14,OCEA,6
684,2022-03-21,13,OCEA,35
685,2022-03-21,12,OCEA,56
686,2022-03-21,11,OCEA,111
687,2022-03-21,10,GOLD,9
688,2022-03-21,10,OCEA,153
689,2022-03-21,9,GOLD,18
690,2022-03-21,9,OCEA,233
691,2022-03-21,8,GOLD,54
692,2022-03-21,8,OCEA,312
693,2022-03-21,7,OCEA,470
694,2022-03-21,7,GOLD,83
695,2022-03-21,6,OCEA,643
696,2022-03-21,6,GOLD,177
697,2022-03-21,5,OCEA,840
698,2022-03-21,5,GOLD,279
699,2022-03-21,4,GOLD,496
700,2022-03-21,4,OCEA,726
701,2022-03-21,3,GOLD,699
702,2022-03-21,3,OCEA,241
703,2022-03-21,2,OCEA,277
704,2022-03-21,2,GOLD,1000
705,2022-03-21,1,GOLD,1574
706,2022-03-21,1,OCEA,159
707,2022-03-22,14,OCEA,8
708,2022-03-22,13,OCEA,20
709,2022-03-22,12,OCEA,40
710,2022-03-22,11,OCEA,102
711,2022-03-22,11,GOLD,2
712,2022-03-22,10,GOLD,6
713,2022-03-22,10,OCEA,162
714,2022-03-22,9,GOLD,17
715,2022-03-22,9,OCEA,241
716,2022-03-22,8,GOLD,43
717,2022-03-22,8,OCEA,306
718,2022-03-22,7,GOLD,65
719,2022-03-22,7,OCEA,488
720,2022-03-22,6,GOLD,159
721,2022-03-22,6,OCEA,656
722,2022-03-22,5,GOLD,285
723,2022-03-22,5,OCEA,733
724,2022-03-22,4,GOLD,489
725,2022-03-22,4,OCEA,585
726,2022-03-22,3,GOLD,662
727,2022-03-22,3,OCEA,226
728,2022-03-22,2,GOLD,918
729,2022-03-22,2,OCEA,227
730,2022-03-22,1,OCEA,120
731,2022-03-22,1,GOLD,1415
732,2022-03-23,14,OCEA,10
733,2022-03-23,13,OCEA,27
734,2022-03-23,12,OCEA,57
735,2022-03-23,11,GOLD,2
736,2022-03-23,11,OCEA,106
737,2022-03-23,10,OCEA,165
738,2022-03-23,10,GOLD,3
739,2022-03-23,9,OCEA,217
740,2022-03-23,9,GOLD,17
741,2022-03-23,8,OCEA,341
742,2022-03-23,8,GOLD,40
743,2022-03-23,7,GOLD,77
744,2022-03-23,7,OCEA,481
745,2022-03-23,6,OCEA,634
746,2022-03-23,6,GOLD,167
747,2022-03-23,5,OCEA,777
748,2022-03-23,5,GOLD,290
749,2022-03-23,4,OCEA,591
750,2022-03-23,4,GOLD,488
751,2022-03-23,3,OCEA,261
752,2022-03-23,3,GOLD,682
753,2022-03-23,2,GOLD,930
754,2022-03-23,2,OCEA,237
755,2022-03-23,1,OCEA,121
756,2022-03-23,1,GOLD,1282
757,2022-03-24,14,OCEA,4
758,2022-03-24,13,OCEA,37
759,2022-03-24,12,OCEA,53
760,2022-03-24,11,OCEA,96
761,2022-03-24,10,OCEA,161
762,2022-03-24,10,GOLD,4
763,2022-03-24,9,OCEA,241
764,2022-03-24,9,GOLD,22
765,2022-03-24,8,GOLD,43
766,2022-03-24,8,OCEA,298
767,2022-03-24,7,OCEA,449
768,2022-03-24,7,GOLD,67
769,2022-03-24,6,OCEA,607
