,DATE,AFNTY_BRAND,CANC_STATUS,SALE_STATUS,MARGIN,VEHICLE_PREMIUM,SALES_COUNT,QUOTE_COUNT
77,2022-03-06,GOLD,Cancelled,SOLD,24780.2071102947,101370.98,121.0,121.0
78,2022-03-06,OCEA,Active,QUOTE,1224717.3075214387,4538708.14,,5127.0
79,2022-03-06,OCEA,Cancelled,SOLD,1846.2557175045,8416.17,10.0,10.0
80,2022-03-07,GOLD,Active,QUOTE,1257791.9834336904,5535545.83,,6789.0
81,2022-03-07,GOLD,Cancelled,SOLD,44683.1699553533,192805.73,218.0,218.0
82,2022-03-07,OCEA,Active,QUOTE,1670179.3164200904,6179436.18,,6747.0
83,2022-03-07,OCEA,Cancelled,SOLD,2053.4828906813,9082.49,10.0,10.0
84,2022-03-08,GOLD,Active,QUOTE,1206505.370845779,5311259.78,,6463.0
85,2022-03-08,GOLD,Cancelled,SOLD,51858.2402777283,217482.16,226.0,226.0
86,2022-03-08,OCEA,Active,QUOTE,1545944.8069478257,5756189.77,,6250.0
87,2022-03-08,OCEA,Cancelled,SOLD,2843.5660015429,14386.23,16.0,16.0
88,2022-03-09,GOLD,Active,QUOTE,1386273.3103874973,5964459.62,,7455.0
89,2022-03-09,GOLD,Cancelled,SOLD,46517.7013410995,192365.18,233.0,233.0
90,2022-03-09,OCEA,Active,QUOTE,1797015.2669467386,6563447.18,,7271.0
91,2022-03-09,OCEA,Cancelled,SOLD,1412.664159402,7924.74,9.0,9.0
92,2022-03-10,GOLD,Active,QUOTE,1232449.8748074975,5222593.28,,6643.0
93,2022-03-10,GOLD,Cancelled,SOLD,40233.9552762234,171472.48,197.0,197.0
94,2022-03-10,OCEA,Active,QUOTE,1584666.1454645225,5779994.58,,6554.0
95,2022-03-10,OCEA,Cancelled,SOLD,1653.6155362563,8089.63,9.0,9.0
96,2022-03-11,GOLD,Active,QUOTE,986698.4927536969,4308965.95,,5353.0
97,2022-03-11,GOLD,Cancelled,SOLD,29363.2008421487,122178.29,146.0,146.0
98,2022-03-11,OCEA,Active,QUOTE,1293451.972515661,4771823.22,,5266.0
99,2022-03-11,OCEA,Cancelled,SOLD,2150.7594806048,10818.21,12.0,12.0
100,2022-03-12,GOLD,Active,QUOTE,728641.2295090589,3210634.25,,3927.0
101,2022-03-12,GOLD,Cancelled,SOLD,18817.6608662557,81820.49,88.0,88.0
102,2022-03-12,OCEA,Active,QUOTE,956774.4338902635,3581860.5,,3886.0
103,2022-03-12,OCEA,Cancelled,SOLD,566.6897531042,2581.73,3.0,3.0
104,2022-03-13,GOLD,Active,QUOTE,763757.800953711,3422809.98,,4144.0
105,2022-03-13,GOLD,Cancelled,SOLD,22087.5664848305,94247.61,109.0,109.0
106,2022-03-13,OCEA,Active,QUOTE,1007180.130602116,3783640.62,,4066.0
107,2022-03-13,OCEA,Cancelled,SOLD,1319.7609678866,6110.24,8.0,8.0
108,2022-03-14,GOLD,Active,QUOTE,1088518.5738544795,4919216.66,,5833.0
109,2022-03-14,GOLD,Cancelled,SOLD,37069.0147266095,163476.9,171.0,171.0
110,2022-03-14,OCEA,Active,QUOTE,1426200.3894195857,5413377.22,,5727.0
111,2022-03-14,OCEA,Cancelled,SOLD,978.4860315,5046.43,6.0,6.0
112,2022-03-15,GOLD,Active,QUOTE,1135153.535446525,5043189.08,,6120.0
113,2022-03-15,GOLD,Cancelled,SOLD,45874.0218804589,197098.01,220.0,220.0
114,2022-03-15,OCEA,Active,QUOTE,1493236.6673361794,5566630.01,,6003.0
115,2022-03-15,OCEA,Cancelled,SOLD,1601.3141317393,6825.34,8.0,8.0
116,2022-03-16,GOLD,Active,QUOTE,1169224.9210948113,5199810.99,,6238.0
117,2022-03-16,GOLD,Cancelled,SOLD,43101.6745968685,180483.51,198.0,198.0
118,2022-03-16,OCEA,Active,QUOTE,1508360.9542627647,5673870.19,,6074.0
119,2022-03-16,OCEA,Cancelled,SOLD,945.4452245987,4338.57,5.0,5.0
120,2022-03-17,GOLD,Active,QUOTE,1035921.4906038477,4645268.33,,5535.0
121,2022-03-17,GOLD,Cancelled,SOLD,36517.2123763873,157143.74,181.0,181.0
122,2022-03-17,OCEA,Active,QUOTE,1341532.8518200065,5064443.56,,5387.0
123,2022-03-17,OCEA,Cancelled,SOLD,2200.5526292209,11999.3,14.0,14.0
124,2022-03-18,GOLD,Active,QUOTE,1087906.2310792697,4689359.59,,5744.0
125,2022-03-18,GOLD,Cancelled,SOLD,34362.5476529001,144055.13,164.0,164.0
126,2022-03-18,OCEA,Active,QUOTE,1404051.7209566585,5170606.63,,5636.0
127,2022-03-18,OCEA,Cancelled,SOLD,2071.8742229438,9938.26,12.0,12.0
128,2022-03-19,GOLD,Active,QUOTE,903925.3471875853,3806979.17,,4812.0
129,2022-03-19,GOLD,Cancelled,SOLD,19099.0298740061,83436.39,99.0,99.0
130,2022-03-19,OCEA,Active,QUOTE,1157863.4081368428,4243706.83,,4795.0
131,2022-03-19,OCEA,Cancelled,SOLD,1525.6598431163,8286.56,10.0,10.0
132,2022-03-20,GOLD,Active,QUOTE,876379.3744175698,3805374.41,,4756.0
133,2022-03-20,GOLD,Cancelled,SOLD,21663.1023966515,91827.13,109.0,109.0
134,2022-03-20,OCEA,Active,QUOTE,1151523.2637454192,4236754.06,,4711.0
135,2022-03-20,OCEA,Cancelled,SOLD,1375.7082758935,8284.97,8.0,8.0
136,2022-03-21,GOLD,Active,QUOTE,1145448.0255080392,4984303.42,,6233.0
137,2022-03-21,GOLD,Cancelled,SOLD,36790.7866511293,153998.4,185.0,185.0
138,2022-03-21,OCEA,Active,QUOTE,1502292.3628987726,5497564.7,,6162.0
139,2022-03-21,OCEA,Cancelled,SOLD,1319.4098607068,5749.53,7.0,7.0
140,2022-03-22,GOLD,Active,QUOTE,1121043.5484482055,4980723.58,,5968.0
141,2022-03-22,GOLD,Cancelled,SOLD,38153.3284239851,165458.02,185.0,185.0
142,2022-03-22,OCEA,Active,QUOTE,1492812.147390531,5511747.38,,5858.0
143,2022-03-22,OCEA,Cancelled,SOLD,1029.8098098521,4874.0,6.0,6.0
144,2022-03-23,GOLD,Active,QUOTE,1099159.1409471862,4930888.39,,5894.0
145,2022-03-23,GOLD,Cancelled,SOLD,45080.8160060777,198045.45,213.0,213.0
146,2022-03-23,OCEA,Active,QUOTE,1429586.9061082522,5368970.51,,5712.0
147,2022-03-23,OCEA,Cancelled,SOLD,1179.6462779089,6703.26,8.0,8.0
148,2022-03-24,GOLD,Active,QUOTE,1005787.1504530528,4452342.96,,5546.0
149,2022-03-24,GOLD,Cancelled,SOLD,36048.0038961854,153901.43,175.0,175.0
150,2022-03-24,OCEA,Active,QUOTE,1320391.4489302456,4873902.17,,5411.0
151,2022-03-24,OCEA,Cancelled,SOLD,2314.8393306832,12584.1,15.0,15.0
152,2022-03-25,GOLD,Active,QUOTE,858859.6991240754,3783264.06,,4783.0
153,2022-03-25,GOLD,Cancelled,SOLD,35208.2291467439,146055.15,172.0,172.0
154,2022-03-25,OCEA,Active,QUOTE,1115004.0190602585,4164809.29,,4669.0
155,2022-03-25,OCEA,Cancelled,SOLD,1599.6181413655,8088.49,10.0,10.0
156,2022-03-26,GOLD,Active,QUOTE,771401.6739970522,3357303.42,,4127.0
157,2022-03-26,GOLD,Cancelled,SOLD,24323.2692862974,103059.65,122.0,122.0
158,2022-03-26,OCEA,Active,QUOTE,1021703.0675665323,3745421.57,,4084.0
159,2022-03-26,OCEA,Cancelled,SOLD,1038.6545524365,5304.01,6.0,6.0
160,2022-03-27,GOLD,Active,QUOTE,980297.4950485992,4114161.6,,5206.0
161,2022-03-27,GOLD,Cancelled,SOLD,22604.4233436697,98365.66,109.0,109.0
162,2022-03-27,OCEA,Active,QUOTE,1248202.324322349,4522518.03,,5112.0
163,2022-03-27,OCEA,Cancelled,SOLD,677.5439132971,3509.03,4.0,4.0
164,2022-03-28,GOLD,Active,QUOTE,1308536.6604501286,5696634.5,,6950.0
165,2022-03-28,GOLD,Cancelled,SOLD,41658.9488440152,175236.97,194.0,194.0
166,2022-03-28,OCEA,Active,QUOTE,1722707.6231949953,6357178.57,,6892.0
167,2022-03-28,OCEA,Cancelled,SOLD,1703.5622529343,8184.74,10.0,10.0
168,2022-03-29,GOLD,Active,QUOTE,1237879.7491136964,5421791.03,,6685.0
169,2022-03-29,GOLD,Cancelled,SOLD,41307.9853246592,170543.16,193.0,193.0
170,2022-03-29,OCEA,Active,QUOTE,1637750.0451725628,6026816.4,,6585.0
171,2022-03-29,OCEA,Cancelled,SOLD,807.0369569752,4125.8,5.0,5.0
172,2022-03-30,GOLD,Active,QUOTE,1250742.4979233672,5486562.5,,6803.0
173,2022-03-30,GOLD,Cancelled,SOLD,47644.2565084447,207766.58,229.0,229.0
174,2022-03-30,OCEA,Active,QUOTE,1644952.9752465715,6067660.2,,6682.0
175,2022-03-30,OCEA,Cancelled,SOLD,1397.1097440307,6914.98,8.0,8.0
176,2022-03-31,GOLD,Active,QUOTE,1134478.3384534013,4840160.19,,6007.0
177,2022-03-31,GOLD,Cancelled,SOLD,39021.1676546875,167703.32,187.0,187.0
178,2022-03-31,OCEA,Active,QUOTE,1449348.3061947809,5293660.69,,5879.0
179,2022-03-31,OCEA,Cancelled,SOLD,1868.9759014181,8905.86,10.0,10.0
180,2022-04-01,GOLD,Active,QUOTE,944236.3389572147,3998055.8,,5033.0
181,2022-04-01,GOLD,Cancelled,SOLD,37310.4428059554,154631.53,176.0,176.0
182,2022-04-01,OCEA,Active,QUOTE,1220830.2572513944,4405505.56,,4936.0
183,2022-04-01,OCEA,Cancelled,SOLD,1495.6966884571,9254.7,10.0,10.0
184,2022-04-02,GOLD,Active,QUOTE,822009.8921683844,3442184.01,,4341.0
185,2022-04-02,GOLD,Cancelled,SOLD,21744.2111427342,93719.08,113.0,113.0
186,2022-04-02,OCEA,Active,QUOTE,1074015.6796223687,3847632.14,,4312.0
187,2022-04-02,OCEA,Cancelled,SOLD,692.1227244952,3398.19,4.0,4.0
188,2022-04-03,GOLD,Active,QUOTE,901368.9658747045,3777070.06,,4687.0
189,2022-04-03,GOLD,Cancelled,SOLD,22562.0580837643,94175.04,117.0,117.0
190,2022-04-03,OCEA,Active,QUOTE,1155704.346426322,4156709.04,,4594.0
191,2022-04-03,OCEA,Cancelled,SOLD,610.1045533581,3227.48,4.0,4.0
192,2022-04-04,GOLD,Active,QUOTE,1134842.070741947,4876504.44,,5956.0
193,2022-04-04,GOLD,Cancelled,SOLD,28330.182723968,117383.92,144.0,144.0
194,2022-04-04,OCEA,Active,QUOTE,1465293.5451089684,5364374.59,,5857.0
195,2022-04-04,OCEA,Cancelled,SOLD,1657.5379784387,7268.93,9.0,9.0
196,2022-04-05,GOLD,Active,QUOTE,961085.7908096121,4170364.62,,5079.0
197,2022-04-05,OCEA,Active,QUOTE,1206650.7048636395,4447806.61,,4833.0
